occ,occ1990dd,year
258,258,1980
259,274,1980
263,275,1980
264,275,1980
265,275,1980
266,275,1980
267,275,1980
268,275,1980
269,275,1980
274,275,1980
275,275,1980
276,276,1980
277,277,1980
278,277,1980
283,283,1980
284,274,1980
285,274,1980
303,303,1980
304,308,1980
305,303,1980
306,348,1980
307,364,1980
308,308,1980
309,308,1980
313,313,1980
314,313,1980
315,315,1980
316,316,1980
317,317,1980
318,318,1980
319,319,1980
323,319,1980
325,336,1980
326,326,1980
327,326,1980
328,328,1980
329,329,1980
335,335,1980
336,336,1980
337,337,1980
338,338,1980
339,344,1980
343,344,1980
344,344,1980
345,347,1980
346,346,1980
347,347,1980
348,348,1980
349,349,1980
353,349,1980
354,354,1980
355,355,1980
356,356,1980
357,357,1980
359,359,1980
363,373,1980
364,364,1980
365,365,1980
366,366,1980
368,368,1980
369,389,1980
373,373,1980
374,389,1980
375,375,1980
376,376,1980
377,377,1980
378,378,1980
379,379,1980
383,383,1980
384,384,1980
385,385,1980
386,386,1980
387,387,1980
389,389,1980
403,408,1980
404,436,1980
405,405,1980
406,468,1980
407,405,1980
413,417,1980
414,418,1980
415,415,1980
416,417,1980
417,417,1980
418,418,1980
423,423,1980
424,423,1980
425,425,1980
426,426,1980
427,427,1980
433,433,1980
434,434,1980
435,435,1980
436,436,1980
437,436,1980
438,444,1980
439,439,1980
443,444,1980
444,444,1980
445,445,1980
446,447,1980
447,447,1980
448,448,1980
449,405,1980
453,453,1980
454,469,1980
455,455,1980
456,470,1980
457,457,1980
458,458,1980
459,459,1980
463,461,1980
464,462,1980
465,471,1980
466,464,1980
467,177,1980
468,468,1980
469,469,1980
473,473,1980
474,473,1980
475,475,1980
476,475,1980
477,479,1980
479,479,1980
483,498,1980
484,479,1980
485,450,1980
486,451,1980
487,472,1980
488,488,1980
489,489,1980
494,496,1980
495,496,1980
496,496,1980
497,829,1980
498,498,1980
499,498,1980
503,503,1980
505,505,1980
506,505,1980
507,507,1980
508,508,1980
509,509,1980
514,514,1980
515,508,1980
516,516,1980
517,516,1980
518,518,1980
519,519,1980
523,523,1980
